,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Former name,Parent institution,Vice-president,Address,Undergraduates,Postgraduates,Doctoral students,Colors,Nobel Laureates,Other students,Former names,Other name,Language,Professors,Mascot,Dean,Director,Alumni,Nobel laureates,Athletics,Chairperson,Founder,Academic affiliation,Affiliation,Endowment,Latitude,Longitude
32,/wiki/University_of_Freiburg,Die Wahrheit wird euch frei machen,The Truth Will Set You Free,Public,1457,€ 339.8 million [1],Hans-Jochen Schiewer  [ de ],"2,657 [2]","2,033 [2]","24,612 [3]","Freiburg im Breisgau ,  Baden-Württemberg ,  Germany",U15 EUA IFPU EUCOR LERU,www.uni-freiburg.de,,,University town,,,,,,,,,"Blue, Red, White                   ",,,,,,,,,,,,,,,,,,47.9960901,7.8494005
33,/wiki/University_of_Giessen,,,Public,1607,€ 223 million [1],Joybrato Mukherjee,"3,039 [2]","2,394 [2]","28,454 [2]","Gießen ,  Hesse ,  Germany","German Academic Exchange Service (DAAD) ,  German Research Council (DFG)",www.uni-giessen.de,,,,,,,,,,,,Blue and white            ,,,,,,,,,,,,,,,,,,50.5862066,8.6742306
34,/wiki/University_of_G%C3%B6ttingen,In publica commoda ( Latin ) [1],For the good of all,Public,1734,€ 1.233 billion [2],,"4,241 (2017) [3]","7,752 (2017) [3]","31,619 (2017-2018) [4]","Göttingen ,  Lower Saxony ,  Germany",German Excellence Universities   Coimbra Group   U15   EUA  U4 Network Guild of European Research-Intensive Universities,www.uni-goettingen.de,,Ulrike Beisiegel,University town,,,,,,,,733 (2013-2017),,,,,,,,,,,,,,,,,,,51.5327604,9.9352051
35,/wiki/University_of_Greifswald,""" Wissen lockt. Seit 1456 "" (""The Draw of Knowledge. Since 1456"") [1]",,Public,"1456,  Holy Roman Empire    (teaching since 1436) [2]",€ 81.3 million [3],Johanna Eleonore Weber (352nd),2949 [3],3343 [3],"10,179 [4]","Greifswald ,  Mecklenburg-Vorpommern ,  Germany","CBUR,  DAAD ,  DFG ,  EUA , HRK",https://www.uni-greifswald.de/en/,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,54.095791,13.3815238
36,/wiki/University_of_Hagen,Ipsa Scientia Potestas Est,Knowledge Itself Is Power,Public,1974,,Ada Pellert,"1,824 [1]",,76.689 (winter semester 2015/16) [2],"Hagen ,  North Rhine-Westphalia ,  Germany",European Association of Distance Teaching Universities     ACQUIN     AQAS     FIBAA     EUA,www.fernuni-hagen.de,Regina Zdebel,,Urban     Distance education,,,,,,,,,Blue  and  White              ,,,,,,,,,,,,,,,,,,51.3582945,7.473296
37,/wiki/University_of_Halle-Wittenberg,Zukunft mit Tradition,Future with Tradition,Public,1502,€ 182.9 million [1],Christian Tietje  [ de ],663 [1],710 [1],"19,319 [2]","Halle ,  Saxony-Anhalt ,  Germany",Global Compact,www.uni-halle.de,,,Urban,,,,,,,,,Emerald green      ,,,,,,,Lions,,,,,,,,,,,51.4825041,11.9705452
38,/wiki/University_of_Hamburg,"Der Forschung, der Lehre, der Bildung","For research, for teaching, for education",Public,1919 ; 100 years ago  ( 1919 ),€ 665 million [1],,"5,382 [1]","7,441 [1]","43,636 [1]","Hamburg ,  Germany","EUA ,  Campus Europae ,  German U15",www.uni-hamburg.de,Martin Hecht,Dieter Lenzen  [ de ],Urban,Red and white            ,,,,,,,"4,946 [1]",,,,,,,,,,,,,,,,,,,53.550341,10.000654
39,/wiki/HafenCity_University_Hamburg,,,Public,2006 ; 13 years ago  ( 2006 ),,,,,,"Hamburg ,  Germany",,http://www.hcu-hamburg.de/,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,53.550341,10.000654
40,/wiki/Hamburg_University_of_Technology,,,Public,1978,€ 128.2 million [1],,673 [1],,"7,832 [1]","Hamburg ,  Germany",CESAER,http://www.tuhh.de/,,Hendrik Brinksma (2018),Urban,,Technische Universität Hamburg,,,,,,,,,,,TUHH,,,,,,,,,,,,,,53.550341,10.000654
41,/wiki/Helmut_Schmidt_University,,,,1973,,,An unknown number of teachers in 4 faculties/departments,,2144,"Hamburg ,   Germany",,www.hsu-hh.de,,Wilfried Seidel,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.550341,10.000654
43,/wiki/Hertie_School_of_Governance,Understand today. Shape tomorrow. [1],,Private,2003,€ 13 million [2],,,,605 [5],"Berlin ,  Germany",,www.hertie-school.org,,Henrik Enderlein,Friedrichstraße,"Red, grey, and white",,,,,,,60 [5],,,,,,,,,"Andrea Römmele, Mark Hallerberg, Christine Reh [3]",Axel Baisch [4],"1,500 [5]",,,,,,,,52.5170365,13.3888599
44,/wiki/Leibniz_University_Hannover,Mit Wissen Zukunft gestalten [4],Shaping the future with knowledge,Public,"May 2, 1831 [1]",€ 447.2 million [5],,"3,046 [6]","1,739 [6]","26,035 [7]","Hanover ,  Lower Saxony ,  Germany",TU9 CESAER Association,www.uni-hannover.de,,Volker Epping  [ de ],,,,,,,,,,,,,"
 Höhere Gewerbeschule (1831) 
 Polytechnische Schule (1847) 
 Königliche Technische Hochschule (1879) 
 Technische Hochschule Hannover (1921) 
 Technische Universität Hannover (1968) 
 Universität Hannover (1978) 
 Gottfried Wilhelm Leibniz Universität Hannover (2006) [1] [2] [3] 
",,,,,,,,,,,,,,,52.3744779,9.7385532
45,/wiki/University_of_Heidelberg,Semper apertus  ( Latin ) [1],Always open,Public,1386 ; 633 years ago  ( 1386 ),€461 million (excl. the medical school) [2],,,"7,392 [3]","30,873 [4]","Heidelberg ,  Baden-Württemberg ,  Germany","
 German Universities Excellence Initiative 
 LERU 
 Coimbra Group 
 U15 
 EUA 
",www .uni-heidelberg .de  ,Holger Schroeter,Bernhard Eitel,Urban /University town and  Suburban,,,,,,"15,289 [4]","11,871 [4]","3,024 [4]",Sandstone red  and  gold            ,,,,,,,,,,,27 [5],,,,,,,49.4093582,8.694724
46,/wiki/University_of_Hildesheim,,,Public,1946,,,560,,"7,500","Hildesheim , Lower Saxony ,  Germany",,www.uni-hildesheim.de/,,Wolfgang-Uwe Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1521636,9.9513046
47,/wiki/University_of_Hohenheim,,,Public,1818,€ 144.2 million [1],Stephan Dabbert,941 [1],"1,100 [1]","9,759 [1]","Stuttgart ,  Baden-Württemberg ,  Germany",,www.uni-hohenheim.de,,,,      Blue,,,,,,,,,,,,,,,,,,,,,,,,,,48.7784485,9.1800132
48,/wiki/Technical_University_of_Ilmenau,The Spirit of Science,,Public,1894,€ 124.2 million [1],,,,"6,248 [2]","Ilmenau ,  Thuringia ,  Germany",,www.tu-ilmenau.de,,,,,,,,,"5,800","1,400",,Green and White,,,,,,,,,,,,"Varsity Football, Men's and Women's Basketball, Swimming, Diving, Field Hockey, Soccer, Track and Field",,,,,,50.6867695,10.9142385
49,/wiki/University_of_Jena,,,Public,1558,€ 372 million [1],,"3,415 [2]","5,151 [2]","18,219 [3]","Jena ,  Thuringia ,  Germany",Coimbra Group   EUA,www.uni-jena.de,,Walter Rosenthal,University town,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9281717,11.5879359
