,University_Id,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Undergraduates,Postgraduates,Doctoral students,Latitude,Longitude,Other_Heads,State
65,U0066,Ukrainian Free University,,,Private,1921,,Prof. Maria Pryshlak,65,,,"Munich , Bavaria, Germany",,www .ufu-muenchen .de,,,Urban,blue  yellow,,,,48.1371079,11.5753822,,Bavaria
66,U0067,University of M%C3%BCnster,,,Public,16 April 1780,628.7,Johannes Wessels  [ de ],5726,2174,43790,"Münster ,  North Rhine-Westphalia ,  Germany",,www.uni-muenster.de,Matthias Schwarte,,"Urban , 285 buildings (2003), yearly expenses ~ 559 million Euro",RAL 9004 RAL 5021 3,,,,51.83586,7.09409,,North Rhine-Westphalia
67,U0068,University of Erlangen-Nuremberg,,,Public,"1742 (first)  November 4, 1743  ( 1743-11-04 )  (moved)  [1] [2]",543.1,,4036,2320,38771,"Erlangen  and  Nuremberg ,  Bavaria ,  Germany","Domestic:  1.  Bavarian State Ministry for Science, Research and Art   2.  DFG 3.  Excellence Universities International: 1. Top Industrial Managers for Europe 2.  SEFI",fau.eu,Christian Zens [5],Joachim Hornegger [5],Urban,Blue,,,,49.45832195,11.08546,Prof. Dr. Bärbel Kopp (Vice President for Education) Prof. Dr. Günter Leugering (Vice President for Research) Prof. Dr. Kathrin M. Möslein (Vice President for Outreach) Prof. Dr. Friedrich Paulsen (Vice President for People) [5],Bavaria
68,U0069,University of Oldenburg,Offen für neue Wege,Open for new ways,Public,1973,224.3,,1459,1037,15220,"Oldenburg ,  Lower Saxony ,  Germany",EUA,www.uni-oldenburg.de,,Hans Michael Piper [2],Urban,,,,,53.1389753,8.2146017,,Lower Saxony
69,U0070,University of Osnabr%C3%BCck,,,Public,1974,141.1,,981,734,14000,"Osnabrück ,  Lower Saxony ,  Germany",EUA,www.uni-osnabrueck.de,,Susanne Menzel-Riedl [2],Urban,,,,,52.266837,8.049741,,Lower Saxony
70,U0071,University of Paderborn,Die Universität der Informationsgesellschaft,The University for the Information Society,Public,1972,204,,1151,667,20308,"Paderborn ,  North Rhine-Westphalia ,  Germany","
 EUA 
 DAAD 
 ASIIN 
",www.uni-paderborn.de,,Birgitt Riegraf,Urban,Dark blue  light grey,,,,51.71895955,8.764869778,,North Rhine-Westphalia
71,U0072,University of Passau,,,Public,01-Jan-73,53.7,,683,462,12631,"Passau ,  Bavaria ,  Germany",,www.uni-passau.de/en,,Carola Jungwirth,Urban,Orange  grey,,,,48.5748229,13.4609744,,Bavaria
72,U0073,University of Potsdam,,,Public,1991,198.3,,1864,899,20428,"Potsdam ,  Brandenburg ,  Germany",,www.uni-potsdam.de,,Oliver Günther,,,,,,52.4009309,13.0591397,,Brandenburg
73,U0074,University of Regensburg,,,Public,1962,238.4,,1612,2098,21088,"Regensburg ,  Bavaria ,  Germany",Compostela Group of Universities,www.uni-regensburg.de,,Udo Hebel,Urban,,,,,49.0195333,12.0974869,,Bavaria
74,U0075,University of Rostock,Traditio et Innovatio,Tradition and Innovation,Public,13 February 1419,214.4,Wolfgang D. Schareck [2]   (906th rector),1341,963,13766,"Rostock ,  Mecklenburg-Vorpommern ,  (Germany",EUA DFG DAAD,www.uni-rostock.de,Jan Tamm,,Urban,Blue  Black ,,,1322,54.0924445,12.1286127,,Mecklenburg-Vorpommern
75,U0076,Saarland University,,,Public,1948,357,,1571,1181,17317,"Saarbrücken  and  Homburg ,  Saarland ,  Germany",,www.uni-saarland.de,,Manfred J. Schmitt,,,,,,49.31954,7.33433,,Saarland
76,U0077,University of Siegen,Zukunft menschlich gestalten ( German ),Creating a humane future,Public,1972,134,Holger Burckhart,1380,773,18618,"Siegen ,  North Rhine-Westphalia ,  Germany",,www.uni-siegen.de,Ulf Richter,,Urban / Suburban,,,,,50.8749804,8.0227233,,North Rhine-Westphalia
77,U0078,German University of Administrative Sciences Speyer,,,Public,1947,,,17,,,"Speyer , Rhineland-Palatinate,  Germany",EMPA EGPA SCEPSTA NASPAA TPC IASIA,www.uni-speyer.de,,Joachim Wieland,Suburban,White  yellow,,400,,49.3165553,8.433615,,Rhineland-Palatinate
78,U0079,University of Stuttgart,,,Public,1829,420,,3152,1794,27686,"Stuttgart ,  Baden-Württemberg ,  Germany",German Universities Excellence Initiative     PEGASUS     TU9     EUA     TIME,www.uni-stuttgart.de,Jan Gerken,Wolfram Ressel,Urban / Suburban,Anthracite Dark Blue Mittelblau Light Blue,13136,7309,1682,48.7784485,9.1800132,,Baden-Württemberg
79,U0080,University of Trier,,,Public,"1970, historical: 1473-1798",140.2,Michael Jäckel,626,580,13751,"Trier ,  Rhineland-Palatinate ,  Germany",,www.uni-trier.de,,,,,,,,49.7596208,6.6441878,,Rhineland-Palatinate
80,U0081,University of T%C3%BCbingen,Attempto!,I dare!,Public,1477  ( 1477 ),532.6,Bernd Engler,3604,1375,28515,"Tübingen ,  Baden-Württemberg ,  Germany","German Universities Excellence Initiative ,  Guild of European Research-Intensive Universities ,  MNU",www.uni-tuebingen.de,,,Urban  ( University town ),,21800,4600,2000,48.5236164,9.0535531,,Baden-Württemberg
81,U0082,University of Ulm,Sciendo – Docendo – Curando,,Public,1967,167,,2469,1034,9891,"Ulm ,  Baden-Württemberg ,  Germany","DFG , GUC, NUS",www.uni-ulm.de,,Michael Weber,,,,,,48.3974003,9.9934336,,Baden-Württemberg
82,U0083,University of Halle-Wittenberg,Zukunft mit Tradition,Future with Tradition,Public,1502,182.9,Christian Tietje  [ de ],663,710,19319,"Halle ,  Saxony-Anhalt ,  Germany",Global Compact,www.uni-halle.de,,,Urban,Emerald green,,,,51.4825041,11.9705452,,Saxony-Anhalt
83,U0084,"Bauhaus University, Weimar",,,public,1860,,,,,4072,"Weimar , Thuringia , Germany",,www.uni-weimar.de,,Winfried Speitkamp,,,,,,50.9802813,11.3290855,,Thuringia
